ID,price,date,postcode,prop_type,new_bldg,duration,address_1,address_2,street,locality,city,district,county,cat_type,status
"{B9C980F2-296E-409D-87F3-4ABF6344FD2B}","158000","1995-08-15 00:00","N3 3TX","F","N","L","8","","SPENCER CLOSE","LONDON","LONDON","BARNET","GREATER LONDON","A","A"
"{3B6AA84B-EB07-427A-AAFF-4733F072FDB0}","905000","1995-02-28 00:00","SW3 4NR","T","N","F","33","","WELLINGTON SQUARE","LONDON","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E9257FC-AE55-4D61-A846-4E7351F98FDF}","78000","1995-07-14 00:00","NW2 7NA","T","N","F","101","","CREST ROAD","LONDON","LONDON","BRENT","GREATER LONDON","A","A"
"{89BCD846-C3DC-4F40-A594-520317DAF344}","72000","1995-09-15 00:00","EN3 5NB","T","N","F","31","","LANSBURY ROAD","ENFIELD","ENFIELD","ENFIELD","GREATER LONDON","A","A"
"{6CA6F32E-34C5-4179-88EF-52032742FD49}","135000","1995-05-26 00:00","SE10 8SR","T","N","F","52","","BRAND STREET","LONDON","LONDON","GREENWICH","GREATER LONDON","A","A"
"{29EA77FA-9024-49DB-9C5A-473450556DC8}","85000","1995-11-20 00:00","HA3 7JZ","T","N","F","18","","DRYDEN ROAD","HARROW","HARROW","HARROW","GREATER LONDON","A","A"
"{D0399941-563F-485F-BA73-520372D4AE06}","38500","1995-06-05 00:00","DT2 7TQ","S","N","L","28","","LONDON CLOSE","PIDDLEHINTON","DORCHESTER","WEST DORSET","DORSET","A","A"
"{BE5EEFD3-4561-44CE-8C70-4E73F7330206}","105000","1995-03-06 00:00","NW10 5LE","S","N","F","744","","HARROW ROAD","LONDON","LONDON","BRENT","GREATER LONDON","A","A"
"{BF2EA5A4-8672-41B1-B0C0-4ADB3FE2AEC0}","75000","1995-03-03 00:00","CR0 7QH","T","N","F","6","","DARLEY CLOSE","CROYDON","CROYDON","CROYDON","GREATER LONDON","A","A"
"{DC1C76AD-38E8-4E94-A4C8-5203AC472117}","245000","1995-08-30 00:00","SW6 6RH","T","N","F","73","","GOWAN AVENUE","LONDON","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","A","A"
"{568DE11A-432B-4DA3-B9A4-83B4EC4BD127}","121250","1995-05-19 00:00","N12 8LR","F","N","L","CAVENDISH HOUSE","FLAT 20","WOODSIDE GRANGE ROAD","LONDON","LONDON","BARNET","GREATER LONDON","A","A"
"{DED4E551-6B96-40FB-98E9-8AC3B9071356}","128500","1995-03-01 00:00","SW18 5DH","T","N","F","149","","TRENTHAM STREET","LONDON","LONDON","WANDSWORTH","GREATER LONDON","A","A"
"{8A5F7A96-0865-46E3-B3D9-91F47C16313A}","157500","1995-03-17 00:00","N19 5EX","S","N","F","104","","LADY MARGARET ROAD","LONDON","LONDON","ISLINGTON","GREATER LONDON","A","A"
"{60CF8CE4-7269-4F41-9062-91F4932AC4A2}","110995","1995-11-09 00:00","SW8 2PH","F","Y","L","10","41","PRIORY GROVE","LONDON","LONDON","LAMBETH","GREATER LONDON","A","A"
"{8D28EE68-8F4F-4C7D-8A33-8E6335277383}","180000","1995-11-16 00:00","NW8 9AA","F","N","L","7B","","ABBEY ROAD","LONDON","LONDON","CITY OF WESTMINSTER","GREATER LONDON","A","A"
"{8B08088C-5E4B-40A6-9361-8AC46012F5B1}","124500","1995-04-11 00:00","UB8 3AL","S","N","F","19","","CLAYTON WAY","UXBRIDGE","UXBRIDGE","HILLINGDON","GREATER LONDON","A","A"
"{5F8F69D0-70CA-45E8-8EA2-83B62CEABEA7}","88000","1995-11-15 00:00","TN14 7JP","T","N","F","ASH TREE COTTAGES","3","OLD LONDON ROAD","KNOCKHOLT","SEVENOAKS","SEVENOAKS","KENT","A","A"
